Date,Source,Site ID,POC,Daily Mean PM2.5 Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
1/2/2018,AQS,180030004,1,13.6,ug/m3 LC,54,Ft. Wayne- Beacon St.,1,100,88101,PM2.5 - Local Conditions,23060,"Fort Wayne, IN",18,Indiana,3,Allen,41.0949655,-85.10181631
1/5/2018,AQS,180030004,1,14.5,ug/m3 LC,56,Ft. Wayne- Beacon St.,1,100,88101,PM2.5 - Local Conditions,23060,"Fort Wayne, IN",18,Indiana,3,Allen,41.0949655,-85.10181631
1/8/2018,AQS,180030004,1,13.8,ug/m3 LC,55,Ft. Wayne- Beacon St.,1,100,88101,PM2.5 - Local Conditions,23060,"Fort Wayne, IN",18,Indiana,3,Allen,41.0949655,-85.10181631
1/11/2018,AQS,180030004,1,3.2,ug/m3 LC,13,Ft. Wayne- Beacon St.,1,100,88101,PM2.5 - Local Conditions,23060,"Fort Wayne, IN",18,Indiana,3,Allen,41.0949655,-85.10181631
1/14/2018,AQS,180030004,1,9,ug/m3 LC,38,Ft. Wayne- Beacon St.,1,100,88101,PM2.5 - Local Conditions,23060,"Fort Wayne, IN",18,Indiana,3,Allen,41.0949655,-85.10181631
1/17/2018,AQS,180030004,1,18.4,ug/m3 LC,64,Ft. Wayne- Beacon St.,1,100,88101,PM2.5 - Local Conditions,23060,"Fort Wayne, IN",18,Indiana,3,Allen,41.0949655,-85.10181631
1/20/2018,AQS,180030004,1,10,ug/m3 LC,42,Ft. Wayne- Beacon St.,1,100,88101,PM2.5 - Local Conditions,23060,"Fort Wayne, IN",18,Indiana,3,Allen,41.0949655,-85.10181631
1/23/2018,AQS,180030004,1,3.2,ug/m3 LC,13,Ft. Wayne- Beacon St.,1,100,88101,PM2.5 - Local Conditions,23060,"Fort Wayne, IN",18,Indiana,3,Allen,41.0949655,-85.10181631
1/26/2018,AQS,180030004,1,7.5,ug/m3 LC,31,Ft. Wayne- Beacon St.,1,100,88101,PM2.5 - Local Conditions,23060,"Fort Wayne, IN",18,Indiana,3,Allen,41.0949655,-85.10181631
1/29/2018,AQS,180030004,1,10.5,ug/m3 LC,44,Ft. Wayne- Beacon St.,1,100,88101,PM2.5 - Local Conditions,23060,"Fort Wayne, IN",18,Indiana,3,Allen,41.0949655,-85.10181631
2/1/2018,AQS,180030004,1,7.5,ug/m3 LC,31,Ft. Wayne- Beacon St.,1,100,88101,PM2.5 - Local Conditions,23060,"Fort Wayne, IN",18,Indiana,3,Allen,41.0949655,-85.10181631
2/4/2018,AQS,180030004,1,5.6,ug/m3 LC,23,Ft. Wayne- Beacon St.,1,100,88101,PM2.5 - Local Conditions,23060,"Fort Wayne, IN",18,Indiana,3,Allen,41.0949655,-85.10181631
2/7/2018,AQS,180030004,1,15.5,ug/m3 LC,58,Ft. Wayne- Beacon St.,1,100,88101,PM2.5 - Local Conditions,23060,"Fort Wayne, IN",18,Indiana,3,Allen,41.0949655,-85.10181631
2/10/2018,AQS,180030004,1,24.2,ug/m3 LC,76,Ft. Wayne- Beacon St.,1,100,88101,PM2.5 - Local Conditions,23060,"Fort Wayne, IN",18,Indiana,3,Allen,41.0949655,-85.10181631
2/13/2018,AQS,180030004,1,24.5,ug/m3 LC,77,Ft. Wayne- Beacon St.,1,100,88101,PM2.5 - Local Conditions,23060,"Fort Wayne, IN",18,Indiana,3,Allen,41.0949655,-85.10181631
2/16/2018,AQS,180030004,1,11.5,ug/m3 LC,48,Ft. Wayne- Beacon St.,1,100,88101,PM2.5 - Local Conditions,23060,"Fort Wayne, IN",18,Indiana,3,Allen,41.0949655,-85.10181631
2/19/2018,AQS,180030004,1,6.2,ug/m3 LC,26,Ft. Wayne- Beacon St.,1,100,88101,PM2.5 - Local Conditions,23060,"Fort Wayne, IN",18,Indiana,3,Allen,41.0949655,-85.10181631
2/22/2018,AQS,180030004,1,6.1,ug/m3 LC,25,Ft. Wayne- Beacon St.,1,100,88101,PM2.5 - Local Conditions,23060,"Fort Wayne, IN",18,Indiana,3,Allen,41.0949655,-85.10181631
2/25/2018,AQS,180030004,1,4.5,ug/m3 LC,19,Ft. Wayne- Beacon St.,1,100,88101,PM2.5 - Local Conditions,23060,"Fort Wayne, IN",18,Indiana,3,Allen,41.0949655,-85.10181631
2/28/2018,AQS,180030004,1,4.9,ug/m3 LC,20,Ft. Wayne- Beacon St.,1,100,88101,PM2.5 - Local Conditions,23060,"Fort Wayne, IN",18,Indiana,3,Allen,41.0949655,-85.10181631
3/3/2018,AQS,180030004,1,3.6,ug/m3 LC,15,Ft. Wayne- Beacon St.,1,100,88101,PM2.5 - Local Conditions,23060,"Fort Wayne, IN",18,Indiana,3,Allen,41.0949655,-85.10181631
3/6/2018,AQS,180030004,1,7,ug/m3 LC,29,Ft. Wayne- Beacon St.,1,100,88101,PM2.5 - Local Conditions,23060,"Fort Wayne, IN",18,Indiana,3,Allen,41.0949655,-85.10181631
3/9/2018,AQS,180030004,1,8.6,ug/m3 LC,36,Ft. Wayne- Beacon St.,1,100,88101,PM2.5 - Local Conditions,23060,"Fort Wayne, IN",18,Indiana,3,Allen,41.0949655,-85.10181631
3/12/2018,AQS,180030004,1,9.4,ug/m3 LC,39,Ft. Wayne- Beacon St.,1,100,88101,PM2.5 - Local Conditions,23060,"Fort Wayne, IN",18,Indiana,3,Allen,41.0949655,-85.10181631
3/15/2018,AQS,180030004,1,6.5,ug/m3 LC,27,Ft. Wayne- Beacon St.,1,100,88101,PM2.5 - Local Conditions,23060,"Fort Wayne, IN",18,Indiana,3,Allen,41.0949655,-85.10181631
3/18/2018,AQS,180030004,1,9.4,ug/m3 LC,39,Ft. Wayne- Beacon St.,1,100,88101,PM2.5 - Local Conditions,23060,"Fort Wayne, IN",18,Indiana,3,Allen,41.0949655,-85.10181631
3/21/2018,AQS,180030004,1,2.9,ug/m3 LC,12,Ft. Wayne- Beacon St.,1,100,88101,PM2.5 - Local Conditions,23060,"Fort Wayne, IN",18,Indiana,3,Allen,41.0949655,-85.10181631
3/24/2018,AQS,180030004,1,4.3,ug/m3 LC,18,Ft. Wayne- Beacon St.,1,100,88101,PM2.5 - Local Conditions,23060,"Fort Wayne, IN",18,Indiana,3,Allen,41.0949655,-85.10181631
3/27/2018,AQS,180030004,1,5.9,ug/m3 LC,25,Ft. Wayne- Beacon St.,1,100,88101,PM2.5 - Local Conditions,23060,"Fort Wayne, IN",18,Indiana,3,Allen,41.0949655,-85.10181631
3/30/2018,AQS,180030004,1,5,ug/m3 LC,21,Ft. Wayne- Beacon St.,1,100,88101,PM2.5 - Local Conditions,23060,"Fort Wayne, IN",18,Indiana,3,Allen,41.0949655,-85.10181631
4/2/2018,AQS,180030004,1,6.7,ug/m3 LC,28,Ft. Wayne- Beacon St.,1,100,88101,PM2.5 - Local Conditions,23060,"Fort Wayne, IN",18,Indiana,3,Allen,41.0949655,-85.10181631
4/5/2018,AQS,180030004,1,5.7,ug/m3 LC,24,Ft. Wayne- Beacon St.,1,100,88101,PM2.5 - Local Conditions,23060,"Fort Wayne, IN",18,Indiana,3,Allen,41.0949655,-85.10181631
4/8/2018,AQS,180030004,1,5.7,ug/m3 LC,24,Ft. Wayne- Beacon St.,1,100,88101,PM2.5 - Local Conditions,23060,"Fort Wayne, IN",18,Indiana,3,Allen,41.0949655,-85.10181631
4/11/2018,AQS,180030004,1,10.4,ug/m3 LC,43,Ft. Wayne- Beacon St.,1,100,88101,PM2.5 - Local Conditions,23060,"Fort Wayne, IN",18,Indiana,3,Allen,41.0949655,-85.10181631
4/14/2018,AQS,180030004,1,8.6,ug/m3 LC,36,Ft. Wayne- Beacon St.,1,100,88101,PM2.5 - Local Conditions,23060,"Fort Wayne, IN",18,Indiana,3,Allen,41.0949655,-85.10181631
4/17/2018,AQS,180030004,1,4.3,ug/m3 LC,18,Ft. Wayne- Beacon St.,1,100,88101,PM2.5 - Local Conditions,23060,"Fort Wayne, IN",18,Indiana,3,Allen,41.0949655,-85.10181631
4/20/2018,AQS,180030004,1,5,ug/m3 LC,21,Ft. Wayne- Beacon St.,1,100,88101,PM2.5 - Local Conditions,23060,"Fort Wayne, IN",18,Indiana,3,Allen,41.0949655,-85.10181631
4/23/2018,AQS,180030004,1,5.9,ug/m3 LC,25,Ft. Wayne- Beacon St.,1,100,88101,PM2.5 - Local Conditions,23060,"Fort Wayne, IN",18,Indiana,3,Allen,41.0949655,-85.10181631
4/26/2018,AQS,180030004,1,7.5,ug/m3 LC,31,Ft. Wayne- Beacon St.,1,100,88101,PM2.5 - Local Conditions,23060,"Fort Wayne, IN",18,Indiana,3,Allen,41.0949655,-85.10181631
4/29/2018,AQS,180030004,1,5.9,ug/m3 LC,25,Ft. Wayne- Beacon St.,1,100,88101,PM2.5 - Local Conditions,23060,"Fort Wayne, IN",18,Indiana,3,Allen,41.0949655,-85.10181631
5/2/2018,AQS,180030004,1,9.5,ug/m3 LC,40,Ft. Wayne- Beacon St.,1,100,88101,PM2.5 - Local Conditions,23060,"Fort Wayne, IN",18,Indiana,3,Allen,41.0949655,-85.10181631
5/11/2018,AQS,180030004,1,3.2,ug/m3 LC,13,Ft. Wayne- Beacon St.,1,100,88101,PM2.5 - Local Conditions,23060,"Fort Wayne, IN",18,Indiana,3,Allen,41.0949655,-85.10181631
5/14/2018,AQS,180030004,1,7.4,ug/m3 LC,31,Ft. Wayne- Beacon St.,1,100,88101,PM2.5 - Local Conditions,23060,"Fort Wayne, IN",18,Indiana,3,Allen,41.0949655,-85.10181631
5/17/2018,AQS,180030004,1,11.1,ug/m3 LC,46,Ft. Wayne- Beacon St.,1,100,88101,PM2.5 - Local Conditions,23060,"Fort Wayne, IN",18,Indiana,3,Allen,41.0949655,-85.10181631
5/20/2018,AQS,180030004,1,4.9,ug/m3 LC,20,Ft. Wayne- Beacon St.,1,100,88101,PM2.5 - Local Conditions,23060,"Fort Wayne, IN",18,Indiana,3,Allen,41.0949655,-85.10181631
5/23/2018,AQS,180030004,1,5,ug/m3 LC,21,Ft. Wayne- Beacon St.,1,100,88101,PM2.5 - Local Conditions,23060,"Fort Wayne, IN",18,Indiana,3,Allen,41.0949655,-85.10181631
5/26/2018,AQS,180030004,1,10.6,ug/m3 LC,44,Ft. Wayne- Beacon St.,1,100,88101,PM2.5 - Local Conditions,23060,"Fort Wayne, IN",18,Indiana,3,Allen,41.0949655,-85.10181631
