County,Date,Temperature,Precipitation,Wind,Gust Wind
Marin,2010-01,50.98,0.0,4.38,2.4
Marin,2010-02,52.3,0.0,4.3,1.06
Marin,2010-03,52.73,0.0,5.89,1.88
Marin,2010-04,53.32,0.0,7.07,3.99
Marin,2010-05,54.34,0.0,6.67,2.18
Marin,2010-06,57.21,0.0,6.47,1.69
Marin,2010-07,57.37,0.0,5.56,1.03
Marin,2010-08,57.83,0.0,5.56,0.45
Marin,2010-09,58.44,0.0,3.92,0.5
Marin,2010-10,57.35,0.0,4.06,0.8
Marin,2010-11,52.88,0.0,4.66,1.73
Marin,2010-12,51.89,0.0,4.35,2.31
Marin,2011-01,51.59,0.0,3.72,0.18
Marin,2011-02,51.01,0.0,6.03,2.89
Marin,2011-03,53.76,0.0,5.91,2.82
Marin,2011-04,52.17,0.0,6.32,2.04
Marin,2011-05,53.74,0.0,7.42,3.57
Marin,2011-06,54.51,0.0,6.36,1.25
Marin,2011-07,57.94,0.0,5.7,0.7
Marin,2011-08,57.79,0.0,5.51,0.41
Marin,2011-09,59.16,0.0,3.71,0.18
Marin,2011-10,59.24,0.0,3.79,0.26
Marin,2011-11,52.15,0.0,3.98,0.3
Marin,2011-12,47.47,0.0,4.08,0.01
Marin,2012-01,50.57,0.0,4.74,1.5
Marin,2012-02,50.25,0.0,5.79,2.03
Marin,2012-03,52.08,0.0,5.87,3.1
Marin,2012-04,52.37,0.0,5.97,3.21
Marin,2012-05,54.68,0.0,6.59,2.14
Marin,2012-06,57.83,0.0,6.49,1.34
Marin,2012-07,58.1,0.0,6.38,1.66
Marin,2012-08,57.2,0.0,5.11,0.34
Marin,2012-09,56.12,0.0,4.11,0.25
Marin,2012-10,59.7,0.0,4.08,0.23
Marin,2012-11,55.64,0.0,4.41,1.26
Marin,2012-12,50.97,0.0,5.45,1.78
Marin,2013-01,48.64,0.0,4.39,1.45
Marin,2013-02,48.7,0.0,5.03,1.08
Marin,2013-03,51.06,0.0,4.45,0.93
Marin,2013-04,53.63,0.0,5.9,2.77
Marin,2013-05,56.6,0.0,6.25,2.24
Marin,2013-06,58.83,0.0,5.78,1.01
Marin,2013-07,58.68,0.0,5.35,0.52
Marin,2013-08,60.28,0.0,5.17,0.41
Marin,2013-09,62.08,0.0,5.04,1.15
Marin,2013-10,56.34,0.0,4.57,0.5
Marin,2013-11,54.26,0.0,3.8,0.19
Marin,2013-12,49.14,0.0,4.33,0.92
Marin,2014-01,53.39,0.0,3.46,0.27
Marin,2014-02,53.22,0.0,4.56,1.15
Marin,2014-03,56.14,0.03,4.94,0.88
Marin,2014-04,56.25,0.05,5.98,1.82
Marin,2014-05,59.8,0.0,6.82,2.15
Marin,2014-06,57.94,0.0,6.2,1.27
Marin,2014-07,60.82,0.0,5.27,1.18
Marin,2014-08,61.91,0.0,5.47,0.99
Marin,2014-09,62.45,0.01,4.87,0.44
Marin,2014-10,62.26,0.01,4.18,0.36
